Offset,PID,Handle,Access,Type,Details,
0xe19908b8,684,0x18,0x21f0001,Port,,
0x82084250,684,0x1c,0x100003,Semaphore,,
0x81f7cea8,684,0x20,0x1f0001,Mutant,SHIMLIB_LOG_MUTEX,
0xe16333f0,684,0x24,0x2000f,Directory,BaseNamedObjects,
0xe170d908,684,0x28,0x20f003f,Key,MACHINE,
0x823d7e00,684,0x2c,0xf037f,WindowStation,Service-0x0-3e7$,
0xe219fee0,684,0x30,0x1f0001,Port,,
0x82333aa0,684,0x34,0xf01ff,Desktop,Default,
0x823d7e00,684,0x38,0xf037f,WindowStation,Service-0x0-3e7$,
0x8220d748,684,0x3c,0x1f0003,Event,userenv:  User Profile setup event,
0xe1984c28,684,0x40,0x20019,Key,MACHINE\SYSTEM\CONTROLSET001\CONTROL\NLS\LOCALE\ALTE,
0xe197e438,684,0x44,0x20019,Key,MACHINE\SYSTEM\CONTROLSET001\CONTROL\NLS\LOCALE,RNATE SORTS
0xe1974980,684,0x48,0x20019,Key,MACHINE\SYSTEM\CONTROLSET001\CONTROL\NLS\LANGUAGE GR,
0xe19df290,684,0x4c,0xf003f,Key,MACHINE\SYSTEM\CONTROLSET001\ENUM,OUPS
0xe1989140,684,0x50,0xf003f,Key,MACHINE\SYSTEM\CONTROLSET001\SERVICES,
0xe197daf0,684,0x54,0xf003f,Key,MACHINE\SOFTWARE\POLICIES,
0xe19965e0,684,0x58,0xf003f,Key,MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS,
0xe1996578,684,0x5c,0xf003f,Key,MACHINE\SOFTWARE\MICROSOFT\WINDOWS NT\CURRENTVERSION,
0x81f89c28,684,0x60,0x1f0003,Event,,\PERHWIDSTORAGE
0x8250c378,684,0x64,0x1f0001,Mutant,,
0x8248aed8,684,0x68,0x1f0003,Event,,
0x82428090,684,0x6c,0x1f0001,Mutant,,
0x8238d0f8,684,0x70,0x1f0003,Event,,
0x82496210,684,0x74,0x1f0001,Mutant,,
0x8238d0c8,684,0x78,0x1f0003,Event,,
0x824c4128,684,0x7c,0x1f0001,Mutant,,
0x81fa7158,684,0x80,0x1f0003,Event,,
0x81fa6148,684,0x84,0x1f0001,Mutant,,
0x81fa7128,684,0x88,0x1f0003,Event,,
0x821b2148,684,0x8c,0x1f0001,Mutant,,
0x82231158,684,0x90,0x1f0003,Event,,
0x81fa9148,684,0x94,0x1f0001,Mutant,,
0x82231128,684,0x98,0x1f0003,Event,,
0x81fa8148,684,0x9c,0x1f0001,Mutant,,
0x82232158,684,0xa0,0x1f0003,Event,,
0x81f9f148,684,0xa4,0x1f0001,Mutant,,
0x82232128,684,0xa8,0x1f0003,Event,,
0x81f9e148,684,0xac,0x1f0001,Mutant,,
0x82223158,684,0xb0,0x1f0003,Event,,
0x82222148,684,0xb4,0x1f0001,Mutant,,
0x82223128,684,0xb8,0x1f0003,Event,,
0x82220148,684,0xbc,0x1f0001,Mutant,,
0x8221f158,684,0xc0,0x1f0003,Event,,
0x8221e148,684,0xc4,0x1f0001,Mutant,,
0x8221f128,684,0xc8,0x1f0003,Event,,
0x81f961e8,684,0xcc,0x1f0001,Mutant,,
0x8221a158,684,0xd0,0x1f0003,Event,,
0x821a31e8,684,0xd4,0x1f0001,Mutant,,
0x8221a128,684,0xd8,0x1f0003,Event,,
0x81f94148,684,0xdc,0x1f0001,Mutant,,
0x821a0158,684,0xe0,0x1f0003,Event,,
0x81f91148,684,0xe4,0x1f0001,Mutant,,
0x821a0128,684,0xe8,0x1f0003,Event,,
0x8219d148,684,0xec,0x1f0001,Mutant,,
0x81f8e158,684,0xf0,0x1f0003,Event,,
0x8219a148,684,0xf4,0x1f0001,Mutant,,
0x81f8e128,684,0xf8,0x1f0003,Event,,
0x81f8b148,684,0xfc,0x1f0001,Mutant,,
0x81f88158,684,0x100,0x1f0003,Event,,
0x82194148,684,0x104,0x1f0001,Mutant,,
0x81f88128,684,0x108,0x1f0003,Event,,
0x81f85148,684,0x10c,0x1f0001,Mutant,,
0x82191158,684,0x110,0x1f0003,Event,,
0x81f82148,684,0x114,0x1f0001,Mutant,,
0x82191128,684,0x118,0x1f0003,Event,,
0x8218e148,684,0x11c,0x1f0001,Mutant,,
0x81f7a158,684,0x120,0x1f0003,Event,,
0x82186148,684,0x124,0x1f0001,Mutant,,
0x81f7a128,684,0x128,0x1f0003,Event,,
0x81f77148,684,0x12c,0x1f0001,Mutant,,
0x821781f8,684,0x130,0x1f0003,Event,,
0x821771e8,684,0x134,0x1f0001,Mutant,,
0x821781c8,684,0x138,0x1f0003,Event,,
0x82189148,684,0x13c,0x1f0001,Mutant,,
0x82197158,684,0x140,0x1f0003,Event,,
0x8221d148,684,0x144,0x1f0001,Mutant,,
0x82197128,684,0x148,0x1f0003,Event,,
0x81faa148,684,0x14c,0x1f0001,Mutant,,
0x81fa5158,684,0x150,0x1f0003,Event,,
0x82345848,684,0x154,0x1f0001,Mutant,,
0x81fa5128,684,0x158,0x1f0003,Event,,
0x8243a350,684,0x15c,0x1f0001,Mutant,,
0x81fcb958,684,0x160,0x1f0003,Event,SC_AutoStartComplete,
0xe19df398,684,0x164,0xf003f,Key,MACHINE\SYSTEM\CONTROLSET001\CONTROL\NETWORKPROVIDER,
0x8243b4f8,684,0x168,0x1f0003,Event,,\ORDER
0x8243b4c8,684,0x16c,0x21f0003,Event,,
0x821c6f68,684,0x170,0x1f0003,Timer,,
0x81f6f020,684,0x174,0x1f03ff,Thread,TID 708 PID 684,
0x82512fd8,684,0x178,0x1f0003,IoCompletion,,
0x8217b020,684,0x17c,0x1f03ff,Thread,TID 756 PID 684,
0x821f1db0,684,0x180,0x1f0003,Timer,,
0x81f89020,684,0x184,0x1f03ff,Thread,TID 760 PID 684,
0x822193d8,684,0x188,0x1f0003,Event,SvcctrlStartEvent_A3752DX,
0x823bdf18,684,0x18c,0x100003,Semaphore,,
0x821a3ea8,684,0x190,0x1f0001,Mutant,,
0x824bd8c0,684,0x194,0x100003,Semaphore,,
0x823d8f18,684,0x198,0x100003,Semaphore,,
0x824fba68,684,0x19c,0x100003,Semaphore,,
0x82434760,684,0x1a0,0x100003,Semaphore,,
0x8247cc58,684,0x1a4,0x100003,Semaphore,,
0xe1c4fe40,684,0x1a8,0x20019,Key,MACHINE\SYSTEM\CONTROLSET001\CONTROL\SERVICEGROUPORD,
0x8241d828,684,0x1ac,0x1f0003,Event,,ER
0x81f914d0,684,0x1b0,0x1f0003,Event,,
0x8247cc90,684,0x1b4,0x1f0003,Event,,
0xe21e7498,684,0x1b8,0x1f0001,Port,,
0x823a1120,684,0x1c0,0x1f0003,IoCompletion,,
0x823a0400,684,0x1c4,0x1f0003,IoCompletion,,
0x823a1120,684,0x1c8,0x1f0003,IoCompletion,,
0x82178468,684,0x1cc,0x1f0003,Event,ScNetDrvMsg,
0x81f6aed8,684,0x1d0,0x1f0003,Event,,
0x82178988,684,0x1d4,0x1f0003,Event,,
0xe15d0d90,684,0x1d8,0x1f0001,Port,ntsvcs,
0x81f6a648,684,0x1dc,0x1f0003,Event,,
0x82219020,684,0x1e0,0x1f03ff,Thread,TID 828 PID 684,
0x82416350,684,0x1e4,0x12019f,File,\Device\NamedPipe\ntsvcs,
0x82528558,684,0x1e8,0x12019f,File,\Device\NamedPipe\ntsvcs,
0x82177da0,684,0x1ec,0x1f0003,Event,,
0x81f95020,684,0x1f0,0x1f03ff,Thread,TID 832 PID 684,
0xe16b32f8,684,0x1f4,0x1f0001,Port,,
0x81f66c48,684,0x204,0x100003,Event,,
0x81f97b68,684,0x208,0x12019f,File,\Device\NamedPipe\scerpc,
0x8219a9d0,684,0x20c,0x100001,File,\Device\KsecDD,
0x8219a938,684,0x210,0x12019f,File,\Device\NamedPipe\scerpc,
0x81f6de98,684,0x214,0x1f0003,Event,,
0x82179e98,684,0x218,0x1f0003,Event,,
0x821898d8,684,0x21c,0x1f0003,Event,,
0x81f83da0,684,0x220,0x1f03ff,Thread,TID 840 PID 684,
0x821894b0,684,0x224,0x1f0003,Event,,
0x8221c020,684,0x228,0x1f03ff,Thread,TID 824 PID 684,
0x81f7b3b8,684,0x22c,0x1f0003,Event,,
0xe1c6a1d8,684,0x230,0x1f0001,Port,,
0xe1923888,684,0x234,0x1f0001,Port,,
0x82188e98,684,0x238,0x1f0003,Event,,
0xe164df68,684,0x23c,0x1f0001,Port,,
0x81f79e98,684,0x240,0x1f0003,Event,,
0x82185e98,684,0x244,0x1f0003,Event,,
0x81f76e98,684,0x248,0x1f0003,Event,,
0x82182e98,684,0x24c,0x1f0003,Event,,
0x81f862c0,684,0x258,0x1f0003,Event,WBEM_ESS_OPEN_FOR_BUSINESS,
0x821a5020,684,0x25c,0x1f03ff,Thread,TID 848 PID 684,
0xe1991458,684,0x260,0x2,Key,MACHINE\SYSTEM\CONTROLSET001\CONTROL\SERVICECURRENT,
0x820ba550,684,0x264,0x1a019f,File,\Device\NamedPipe\net\NtControlPipe1,
0x8242a598,684,0x268,0x120001,Mutant,ShimCacheMutex,
0xe1644fd8,684,0x26c,0x2,Section,ShimSharedMemory,
0x8217e020,684,0x270,0x1f0fff,Process,vmacthlp.exe(852),
0xe1c545e0,684,0x274,0x1f0001,Port,,
0x82330e28,684,0x278,0x1a019f,File,\Device\NamedPipe\net\NtControlPipe2,
0xe19e9500,684,0x27c,0x2001b,Key,MACHINE\SYSTEM\CONTROLSET001\SERVICES\EVENTLOG,
0x821aa020,684,0x280,0x1f0fff,Process,svchost.exe(868),
0xe1987d58,684,0x284,0x1f0001,Port,,
0x81f986a8,684,0x288,0x1a019f,File,\Device\NamedPipe\net\NtControlPipe3,
0x82538d78,684,0x28c,0x12019f,File,\Device\NamedPipe\net\NtControlPipe3,
0x825393c0,684,0x290,0x1f0003,Event,,
0x821a8020,684,0x294,0x1f03ff,Thread,TID 880 PID 684,
0xe19240e8,684,0x298,0x20019,Key,MACHINE\SYSTEM\CONTROLSET001\CONTROL\COMPUTERNAME\AC,
0xe1c8bd78,684,0x29c,0xf01ff,Token,,TIVECOMPUTERNAME
0xe198e2f8,684,0x2a0,0x1f0001,Port,,
0x81f8f7d8,684,0x2a4,0x100003,Semaphore,,
0x82225410,684,0x2a8,0x1f0003,Event,,
0x821a04a8,684,0x2ac,0x100003,Semaphore,,
0x81fa29d0,684,0x2b0,0x12019f,File,\Device\HarddiskVolume1\WINDOWS\system32\config\AppE,
0xe1984d10,684,0x2b4,0x17,Section,,vent.Evt
0x81f8e8d0,684,0x2b8,0x100003,Semaphore,,
0x8218ca70,684,0x2bc,0x100003,Semaphore,,
0x81f9f990,684,0x2c0,0x12019f,File,\Device\HarddiskVolume1\WINDOWS\system32\config\Inte,
0xe1c81298,684,0x2c4,0x17,Section,,rnet.evt
0x81f9f950,684,0x2c8,0x100003,Semaphore,,
0x81fa7d18,684,0x2cc,0x100003,Semaphore,,
0x81f9f5a8,684,0x2d0,0x12019f,File,\Device\HarddiskVolume1\WINDOWS\system32\config\SecE,
0xe1c811c0,684,0x2d4,0x17,Section,,vent.Evt
0x81f9f568,684,0x2d8,0x100003,Semaphore,,
0x81f9f530,684,0x2dc,0x100003,Semaphore,,
0x82225d00,684,0x2e0,0x12019f,File,\Device\HarddiskVolume1\WINDOWS\system32\config\SysE,
0xe1c83fd8,684,0x2e4,0x17,Section,,vent.Evt
0x82225c90,684,0x2e8,0x100003,Semaphore,,
0x82225930,684,0x2ec,0x100003,Semaphore,,
0x822258a0,684,0x2f0,0x12019f,File,\Device\HarddiskVolume1\WINDOWS\system32\config\Thin,
0xe1c83d80,684,0x2f4,0x17,Section,,Print.evt
0x82225860,684,0x2f8,0x100003,Semaphore,,
0x82225508,684,0x2fc,0x100003,Semaphore,,
0x82225478,684,0x300,0x12019f,File,\Device\HarddiskVolume1\WINDOWS\system32\config\Wind,
0xe1c83b28,684,0x304,0x17,Section,,owsPowerShell.evt
0x81fa9600,684,0x308,0x100003,Semaphore,,
0x81fa95c8,684,0x30c,0x100003,Semaphore,,
0x820b4020,684,0x310,0x1f03ff,Thread,TID 936 PID 684,
0x81fa9598,684,0x314,0x1f0003,Event,,
0x81fa9568,684,0x318,0x1f0003,Event,,
0xe16de9d0,684,0x31c,0x1f0001,Port,ErrorLogPort,
0xe1c626a0,684,0x328,0x1f0001,Port,,
0xe198fd30,684,0x32c,0x20f003f,Key,USER,
0xe1ca16e0,684,0x330,0xf003f,Key,USER\S-1-5-20,
0x81fb0358,684,0x334,0x1a019f,File,\Device\NamedPipe\net\NtControlPipe5,
0x824a3730,684,0x338,0x1a019f,File,\Device\NamedPipe\net\NtControlPipe4,
0x82191ab0,684,0x33c,0x1f0fff,Process,svchost.exe(948),
0xe1c57238,684,0x340,0x1f0001,Port,,
0x825205c8,684,0x344,0x1a019f,File,\Device\NamedPipe\net\NtControlPipe0,
0x81fca308,684,0x348,0x1f0fff,Process,svchost.exe(1040),
0xe1c88978,684,0x34c,0x1f0001,Port,,
0xe1c819a8,684,0x350,0xf003f,Key,USER\S-1-5-19,
0xe1ca4258,684,0x354,0x1f0001,Port,,
0x8208de90,684,0x358,0x1a019f,File,\Device\NamedPipe\net\NtControlPipe7,
0x81fd82e0,684,0x35c,0x1f0003,Event,,
0x81fd82b0,684,0x360,0x1f0003,Event,,
0x81f835a0,684,0x364,0x1f0003,Event,PnP_No_Pending_Install_Events,
0x81f83560,684,0x368,0x1f0003,Event,,
0x81f839b8,684,0x36c,0x1f0001,Mutant,PnP_Init_Mutex,
0x8251ea58,684,0x370,0x100003,Event,,
0xe1f3e160,684,0x374,0x1f0001,Port,,
0xe1c8b6c0,684,0x380,0xf003f,Key,USER\S-1-5-20,
0xe1c739a0,684,0x384,0xf01ff,Token,,
0xe1c8d750,684,0x388,0xf01ff,Token,,
0x8220d640,684,0x38c,0x1a019f,File,\Device\NamedPipe\net\NtControlPipe6,
0x81f865d0,684,0x390,0x1f0fff,Process,svchost.exe(1100),
0xe1cae240,684,0x394,0x1f0001,Port,,
0xe1f05488,684,0x398,0x1f0001,Port,,
0x81f88230,684,0x39c,0x1f0fff,Process,svchost.exe(1180),
0xe1c74180,684,0x3a0,0x1f0001,Port,,
0xe1ec9c28,684,0x3a4,0x1f0001,Port,,
0x821938c0,684,0x3a8,0x100003,Event,,
0x821843c8,684,0x3b4,0x1a019f,File,\Device\NamedPipe\net\NtControlPipe8,
0x81f76b10,684,0x3b8,0x1f0fff,Process,spoolsv.exe(1556),
0xe20eb268,684,0x3c0,0x1f0001,Port,,
0xe20e8c58,684,0x3d0,0x1f0001,Port,,
0xe1c5f790,684,0x3d8,0x1f0001,Port,,
0x823227f8,684,0x3dc,0x1f0003,Event,,
0xe1ec86d8,684,0x3e0,0xf01ff,Token,,
0x824fcc60,684,0x3e4,0x1f0003,Event,,
0x82222650,684,0x3e8,0x1f03ff,Thread,TID 1844 PID 684,
0x82322888,684,0x3ec,0x21f0003,Event,,
0x81f87860,684,0x3f0,0x1f03ff,Thread,TID 1108 PID 684,
0xe1f9cf68,684,0x3f4,0x1f0001,Port,,
0xe1def6d0,684,0x3f8,0xf003f,Key,USER\S-1-5-19,
0xe1f13160,684,0x3fc,0x1f0001,Port,,
0xe211bd78,684,0x400,0xf01ff,Token,,
0xe21781c0,684,0x404,0xf003f,Key,USER\S-1-5-19,
0x824baf90,684,0x408,0x1a019f,File,\Device\NamedPipe\net\NtControlPipe9,
0x821b53c0,684,0x40c,0x1f0fff,Process,svchost.exe(140),
0xe1efbe48,684,0x410,0x1f0001,Port,,
0xe1f42328,684,0x414,0xf01ff,Token,,
0xe1f2f738,684,0x418,0x1f0001,Port,,
0x82205ef8,684,0x41c,0x1a019f,File,\Device\NamedPipe\net\NtControlPipe10,
0x82227980,684,0x420,0x1f0fff,Process,svchost.exe(212),
0xe1f23a58,684,0x424,0x1f0001,Port,,
0x8218f5d0,684,0x430,0x1f03ff,Thread,TID 1112 PID 684,
0x82497518,684,0x434,0x1f0003,Event,,
0x82220420,684,0x438,0x1f0003,Event,,
0x823e0d38,684,0x43c,0x1a019f,File,\Device\NamedPipe\net\NtControlPipe12,
0x8218dcf0,684,0x440,0x1f0003,Event,,
0x8210fda0,684,0x444,0x1f03ff,Thread,TID 476 PID 684,
0x81f8ba80,684,0x44c,0x1f0fff,Process,vmtoolsd.exe(380),
0xe1f34180,684,0x450,0x1f0001,Port,,
0xe1f13428,684,0x46c,0x1f0001,Port,,
0x81f86eb8,684,0x470,0x1f0003,Event,,
0x821f2b60,684,0x474,0x1f03ff,Thread,TID 1252 PID 684,
0x81fa6318,684,0x478,0x1f0003,Event,,
0x8250b338,684,0x47c,0x12019f,File,\Device\NamedPipe\PIPE_EVENTROOT\CIMV2SCM EVENT PROV,
0x81f81020,684,0x484,0x1f03ff,Thread,TID 1364 PID 684,IDER
0x8250f4a0,684,0x488,0x1f03ff,Thread,TID 1340 PID 684,
0x8207a790,684,0x48c,0x1a019f,File,\Device\NamedPipe\net\NtControlPipe13,
0x81f73c60,684,0x490,0x1f0003,Event,,
0x821bb1d0,684,0x494,0x21f0003,Event,,
0x8241d970,684,0x498,0x1f0fff,Process,alg.exe(168),
0xe22ab608,684,0x49c,0xf003f,Key,USER\S-1-5-19,
0xe22c8030,684,0x4a0,0xf01ff,Token,,
0xe1ec94c8,684,0x4a8,0x1f0001,Port,,
0xe10096c0,696,0x4,0xf0003,KeyedEvent,CritSecOutOfMemoryEvent,
0xe1637860,696,0x8,0x3,Directory,KnownDlls,
0x820b5708,696,0xc,0x100020,File,\Device\HarddiskVolume1\WINDOWS\system32,
0x824b47c8,696,0x10,0x100003,Semaphore,,
0xe18f8940,696,0x14,0xf000f,Directory,Windows,
0xe19834e8,696,0x18,0x21f0001,Port,,
0x82510510,696,0x1c,0x100003,Semaphore,,
0xe16333f0,696,0x20,0x2000f,Directory,BaseNamedObjects,
0x81f7cea8,696,0x24,0x1f0001,Mutant,SHIMLIB_LOG_MUTEX,
0xe1979480,696,0x28,0x20f003f,Key,MACHINE,
0x823d7e00,696,0x2c,0xf016e,WindowStation,Service-0x0-3e7$,
0xe20cb198,696,0x30,0x20019,Key,MACHINE\SYSTEM\CONTROLSET001\CONTROL\SECURITYPROVIDE,
0x82333aa0,696,0x34,0xf00cf,Desktop,Default,RS\SCHANNEL
0x823d7e00,696,0x38,0xf016e,WindowStation,Service-0x0-3e7$,
0x8248f108,696,0x3c,0x1f0003,Semaphore,,
0x8207d118,696,0x40,0x1f0003,Event,,
0xe19df330,696,0x44,0x20019,Key,MACHINE\SYSTEM\CONTROLSET001\CONTROL\NETWORKPROVIDER,
0x821ff868,696,0x48,0x100003,Semaphore,,\HWORDER
0x821ff790,696,0x4c,0x100003,Semaphore,,
0x821ec1f0,696,0x50,0x1f0003,Event,,
0x8250ac90,696,0x54,0x1f0003,Event,,
0x82337020,696,0x58,0x100003,Semaphore,,
0x82337420,696,0x5c,0x100003,Semaphore,,
0xe197c5c8,696,0x60,0x20019,Key,MACHINE\SOFTWARE\MICROSOFT\WINDOWS NT\CURRENTVERSION,
0x824924a0,696,0x64,0x1f0003,Event,DINPUTWINMM,\DRIVERS32
0x820b5510,696,0x68,0x100001,File,\Device\KsecDD,
0x82492460,696,0x6c,0x1f0003,Event,,
0x8234b838,696,0x70,0x1f0003,Event,,
0xe197d228,696,0x74,0x20019,Key,MACHINE\SOFTWARE\MICROSOFT\WINDOWS NT\CURRENTVERSION,
0x824013f0,696,0x78,0x1f0003,Semaphore,shell.{A48F1A32-A340-11D1-BC6B-00A0C90312E1},\DRIVERS32
0x8220d748,696,0x7c,0x1f0003,Event,userenv:  User Profile setup event,
0x820b5318,696,0x80,0x100020,File,\Device\HarddiskVolume1\WINDOWS\WinSxS\x86_Microsoft,
0x82196eb8,696,0x84,0x1f0003,Event,,.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.6028_x-ww_61e65202
0xe1698cb8,696,0x88,0x2001f,Key,MACHINE\SYSTEM\CONTROLSET001\CONTROL\LSA\SSPICACHE\M,
0xe197a1e0,696,0x8c,0x2001f,Key,MACHINE\SYSTEM\CONTROLSET001\CONTROL\LSA\SSPICACHE\M,SAPSSPC.DLL
0x823e34b8,696,0x90,0x1f0003,Timer,,SNSSPC.DLL
0xe197d298,696,0x94,0x2001f,Key,MACHINE\SYSTEM\CONTROLSET001\CONTROL\LSA\SSPICACHE\D,
0x82195c28,696,0x98,0x21f0003,Event,,IGEST.DLL
0x81f6c020,696,0x9c,0x1f03ff,Thread,TID 716 PID 696,
0x8251ec90,696,0xa0,0x12019f,File,\Device\NamedPipe\net\NtControlPipe0,
0x8233d298,696,0xa4,0x1f0003,IoCompletion,,
0x823e15d8,696,0xa8,0x1f0003,Timer,,
0x82181020,696,0xac,0x1f03ff,Thread,TID 724 PID 696,
0xe1980e40,696,0xb0,0x20019,Key,MACHINE\SYSTEM\CONTROLSET001\CONTROL\LSA,
0x821a1c28,696,0xb4,0x1f0003,Event,,
0x821fb0a8,696,0xb8,0x21f0003,Semaphore,,
0x821a1800,696,0xbc,0x1f0003,Event,,
0xe16d3af0,696,0xc0,0x1f0001,Port,SeLsaCommandPort,
0x822039d0,696,0xc4,0x2,Event,SeLsaInitEvent,
0xe196e3e8,696,0xc8,0x1f0001,Port,,
0xe16b3f68,696,0xcc,0x1f0001,Port,,
0x82336340,696,0xd0,0x100003,Semaphore,,
0x821fb050,696,0xd4,0x100003,Semaphore,,
0x8207da80,696,0xd8,0x100003,Semaphore,,
0x8207d8e8,696,0xdc,0x100003,Semaphore,,
0x8207d408,696,0xe0,0x100003,Semaphore,,
0x8207d220,696,0xe4,0x100003,Semaphore,,
0x81f99668,696,0xe8,0x1f0003,Event,,
0x82335e88,696,0xec,0x100003,Semaphore,,
0x82335c30,696,0xf0,0x100003,Semaphore,,
0xe198fbb8,696,0xf4,0x6001d,Key,MACHINE\SECURITY,
0xe198fb50,696,0xf8,0x3001f,Key,MACHINE\SECURITY\RXACT,
0x81f93668,696,0xfc,0x1f0003,Event,,
0x8219f668,696,0x100,0x1f0003,Event,,
0x81f91d20,696,0x104,0x1f0003,Event,,
0x824821f8,696,0x108,0xa84,WmiGuid,,
0x82509200,696,0x10c,0xa84,WmiGuid,,
0xe16a2e40,696,0x110,0x2001f,Key,MACHINE\SECURITY\POLICY,
0x82335628,696,0x114,0x100003,Semaphore,,
0x823f8a08,696,0x118,0x100003,Semaphore,,
0x8250cf48,696,0x11c,0x100003,Semaphore,,
0x8250afe8,696,0x120,0x100003,Semaphore,,
0x81f8f3d8,696,0x124,0x1f0003,Event,,
0x82426390,696,0x128,0x1f0003,Timer,,
0xe16441c0,696,0x12c,0x11,Key,MACHINE\SYSTEM\CONTROLSET001\CONTROL\LSA\AUDIT\PERUS,
0x821fa908,696,0x130,0x100003,Semaphore,,ERAUDITING\SYSTEM
0x821fada0,696,0x134,0x100003,Semaphore,,
0x823f69a0,696,0x138,0x100003,Semaphore,,
0xe19ea030,696,0x13c,0xf01ff,Token,,
0x824890e0,696,0x140,0x100003,Semaphore,,
0x82489520,696,0x144,0x100003,Semaphore,,
0x824898f8,696,0x148,0x100003,Semaphore,,
0x82489ca0,696,0x14c,0x100003,Semaphore,,
0x824ac290,696,0x150,0x100003,Semaphore,,
0x8219b3d8,696,0x154,0x1f0003,Event,,
0xe192ea88,696,0x158,0xf0007,Section,Debug.Memory.2b8,
0xe1970218,696,0x15c,0x20019,Key,MACHINE\SYSTEM\CONTROLSET001\CONTROL\LSA\KERBEROS,
0x81f7b020,696,0x160,0x1f03ff,Thread,TID 744 PID 696,
0x824ad0c8,696,0x164,0x100003,Semaphore,,
0x82523570,696,0x168,0x12019f,File,\Device\WMIDataDevice,
0x81f8d668,696,0x16c,0x1f0003,Event,,
0x824828e8,696,0x170,0xa84,WmiGuid,,
0x8243b540,696,0x174,0x12019f,File,\Device\WMIDataDevice,
0x8219ad20,696,0x178,0x1f0003,Event,,
0x81f68020,696,0x17c,0x1f0fff,Process,lsass.exe(696),
0x8219a8f8,696,0x180,0x1f0003,Event,,
0x8219a4d0,696,0x184,0x1f0003,Event,,
0x824ad120,696,0x188,0x100003,Semaphore,,
0xe19cdc30,696,0x18c,0x2001f,Key,MACHINE\SECURITY\POLICY,
0x81f98a88,696,0x190,0x100003,Semaphore,,
0x81f98660,696,0x194,0x100003,Semaphore,,
0x8221e8f0,696,0x198,0x100003,Semaphore,,
0xe198e228,696,0x19c,0xf003f,Key,MACHINE\SYSTEM\CONTROLSET001\CONTROL\LSA\KERBEROS\SI,
0x8221e4c8,696,0x1a0,0x100003,Semaphore,,DCACHE
0x81f97eb0,696,0x1a4,0x100003,Semaphore,,
0x81f97a88,696,0x1a8,0x100003,Semaphore,,
0x81f97660,696,0x1ac,0x100003,Semaphore,,
0x8221dd18,696,0x1b0,0x100003,Semaphore,,
0xe196eac0,696,0x1b4,0x20019,Key,MACHINE\SYSTEM\CONTROLSET001\CONTROL\LSA\KERBEROS\DO,
0x81f8da90,696,0x1b8,0x1f0003,Event,,MAINS
0x821a4c20,696,0x1bc,0x100003,Semaphore,,
0x821a47f8,696,0x1c0,0x100003,Semaphore,,
0x8222f020,696,0x1c4,0x478,Process,services.exe(684),
0x821a43d8,696,0x1c8,0x1f0003,Event,,
0xe198e4d8,696,0x1cc,0xf003f,Key,MACHINE\SYSTEM\CONTROLSET001\SERVICES\WINSOCK2\PARAM,
0x81f96a90,696,0x1d0,0x1f0003,Event,,ETERS\PROTOCOL_CATALOG9
0xe1987228,696,0x1d4,0xf003f,Key,MACHINE\SYSTEM\CONTROLSET001\SERVICES\WINSOCK2\PARAM,
0x82536418,696,0x1d8,0x1200a0,File,\Device\Tcp,ETERS\NAMESPACE_CATALOG5
0x823d8f90,696,0x1dc,0x120116,File,\Device\Tcp,
0x824fedf8,696,0x1e0,0x1200a0,File,\Device\Ip,
0x82425670,696,0x1e4,0x100003,File,\Device\Ip,
0x824a88a8,696,0x1e8,0x1200a0,File,\Device\Ip,
0x8221a8f0,696,0x1ec,0x100003,Semaphore,,
0x8221a4d0,696,0x1f0,0x100003,Event,,
0x8221d4c8,696,0x1f4,0x100003,Semaphore,,
0xe1633858,696,0x1f8,0x20019,Key,MACHINE\SYSTEM\CONTROLSET001\SERVICES\TCPIP\LINKAGE,
0xe198c7e0,696,0x1fc,0x20019,Key,MACHINE\SYSTEM\CONTROLSET001\SERVICES\TCPIP\PARAMETE,
0xe19d41a8,696,0x200,0x20019,Key,MACHINE\SYSTEM\CONTROLSET001\SERVICES\NETBT\PARAMETE,RS
0xe198c858,696,0x204,0x20019,Key,MACHINE\SYSTEM\CONTROLSET001\SERVICES\NETBT\PARAMETE,RS\INTERFACES
0xe198e550,696,0x208,0x20019,Key,MACHINE\SYSTEM\CONTROLSET001\CONTROL\LSA,RS
0x81fdd278,696,0x20c,0xa84,WmiGuid,,
0xe19701b0,696,0x210,0x20019,Key,MACHINE\SYSTEM\CONTROLSET001\CONTROL\LSA\MSV1_0,
0x824eea40,696,0x214,0x100003,Semaphore,,
0x8221ed18,696,0x218,0x100003,Semaphore,,
0x824acc80,696,0x21c,0x100003,Semaphore,,
0x81f95c20,696,0x220,0x100003,Semaphore,,
0x81f957f8,696,0x224,0x100003,Semaphore,,
0x81f953d0,696,0x228,0x100003,Semaphore,,
0x821a2eb0,696,0x22c,0x100003,Semaphore,,
0x821a2a88,696,0x230,0x100003,Semaphore,,
0xe16081b0,696,0x234,0x2001f,Key,MACHINE\SECURITY\POLICY,
0x821aceb0,696,0x238,0x100003,Semaphore,,
0xe163e8d8,696,0x23c,0x600fe,Token,,
0x821aca88,696,0x240,0x100003,Semaphore,,
0x8221b668,696,0x244,0x1f0003,Event,,
0x823919e0,696,0x248,0x120196,File,\Device\HarddiskVolume1\WINDOWS\Debug\PASSWD.LOG,
